GAME_ID,Date,Season,era,y,home_eFG,away_eFG,diff_eFG,home_TOV_pct,away_TOV_pct,diff_TOV_pct,home_ORB_pct,away_ORB_pct,diff_ORB_pct,home_FTrate,away_FTrate,diff_FTrate,home_pace,away_pace,diff_pace,home_rest,away_rest,diff_rest
0020700078,2007-11-09,2007-08,early,0,0.48012701944989733,0.5244627554383652,-0.04433573598846785,0.17995246545779653,0.1588962510692774,0.021056214388519123,0.2601579994316567,0.29657726360472586,-0.03641926417306918,0.17639228952634473,0.31826948900119634,-0.1418771994748516,106.48800000000001,102.47200000000001,4.016000000000005,2.0,2.0,0.0
0020700073,2007-11-09,2007-08,early,0,0.5189768577895588,0.503700769333643,0.01527608845591577,0.13435873078984317,0.129699989738189,0.004658741051654175,0.2688572843472333,0.2126918293744559,0.05616545497277742,0.21026390511176468,0.21402701466168325,-0.0037631095499185696,96.016,92.696,3.3200000000000074,2.0,2.0,0.0
0020700080,2007-11-10,2007-08,early,0,0.47164064661185046,0.5030590354937281,-0.031418388881877646,0.1389693953288844,0.15468776577459362,-0.01571837044570923,0.23773670859106488,0.24361680777549452,-0.005880099184429638,0.22892085685193142,0.2526510805262,-0.02373022367426858,101.064,102.61333333333334,-1.549333333333351,1.0,1.0,0.0
0020700085,2007-11-10,2007-08,early,1,0.49248269172597947,0.5575762281197064,-0.06509353639372695,0.1429104207519579,0.1339256094841672,0.008984811267790688,0.2313830873746038,0.2154727398205659,0.015910347554037918,0.18294701929190324,0.3066723131940523,-0.12372529390214906,94.49600000000001,93.416,1.0800000000000125,1.0,2.0,-1.0
0020700082,2007-11-10,2007-08,early,0,0.4157577978337212,0.4919930842766269,-0.07623528644290573,0.143243590003597,0.12131578606014932,0.021927803943447663,0.3009807353473121,0.228515433708071,0.07246530163924111,0.2126571040678428,0.22946457543285037,-0.01680747136500757,98.224,94.95333333333333,3.2706666666666706,2.0,1.0,1.0
0020700079,2007-11-10,2007-08,early,0,0.5198369798204396,0.5105696528812006,0.00926732693923904,0.12418546588124722,0.12575258294332556,-0.0015671170620783353,0.2219715774026608,0.20845978124704834,0.01351179615561246,0.29909581385152867,0.1673128605377238,0.13178295331380488,94.08666666666666,100.24666666666667,-6.160000000000011,1.0,1.0,0.0
0020700091,2007-11-11,2007-08,early,0,0.4804980064043262,0.5105134799419164,-0.03001547353759021,0.17464959434135538,0.1315992462996767,0.04305034804167868,0.26330996076669066,0.270078148801553,-0.0067681880348623435,0.1842484765660716,0.24655669565014549,-0.062308219084073885,105.86666666666667,92.752,13.114666666666679,2.0,2.0,0.0
0020700090,2007-11-11,2007-08,early,1,0.5106597320204601,0.46556660218184726,0.045093129838612855,0.1256419706590541,0.14719659792970802,-0.02155462727065391,0.21057652447871325,0.2923064466548097,-0.08172992217609645,0.20649437368993084,0.1892240548320403,0.017270318857890543,91.89999999999999,94.55199999999999,-2.652000000000001,2.0,2.0,0.0
0020700089,2007-11-11,2007-08,early,0,0.44617619639438083,0.47290251689330565,-0.026726320498924816,0.1937374248345641,0.12943510642654218,0.06430231840802192,0.34788628311636727,0.31986660924222216,0.028019673874145112,0.27779978466172006,0.21891794864091021,0.05888183602080985,93.88,93.60000000000001,0.2799999999999869,2.0,2.0,0.0
0020700088,2007-11-11,2007-08,early,0,0.46695247772728427,0.5086124020674306,-0.04165992434014637,0.15165494383145933,0.12735338084217201,0.024301562989287318,0.3387117374351417,0.25813864604693687,0.08057309138820484,0.24649168242321343,0.19785366578243765,0.04863801664077577,95.872,94.76,1.1119999999999948,2.0,2.0,0.0
0020700092,2007-11-11,2007-08,early,0,0.47312811730712667,0.4702895627573607,0.002838554549765948,0.13694488453987327,0.14314432465897545,-0.006199440119102173,0.2713943203360506,0.29969118180054916,-0.028296861464498557,0.3042092162595843,0.1935879357405114,0.11062128051907291,99.21600000000001,97.72666666666667,1.4893333333333345,2.0,2.0,0.0
0020700086,2007-11-11,2007-08,early,0,0.4686021581628432,0.39667892821810014,0.07192322994474304,0.1728278091665849,0.16084597358920555,0.011981835577379363,0.28127934569034724,0.2968857808857809,-0.015606435195433643,0.2829223250481627,0.28067123486329787,0.002251090184864857,94.256,101.616,-7.359999999999999,2.0,2.0,0.0
0020700094,2007-11-12,2007-08,early,1,0.5043641907019412,0.477976251726619,0.026387938975322156,0.15900895823238775,0.14219692958704214,0.016812028645345617,0.2310366288869318,0.30449720344808967,-0.07346057456115787,0.26708071710608083,0.19347124268291685,0.07360947442316398,103.94857142857143,97.32000000000001,6.628571428571419,2.0,1.0,1.0
0020700095,2007-11-12,2007-08,early,1,0.5251832046284438,0.45423207089873757,0.07095113372970624,0.15427634346561742,0.15300919358697826,0.0012671498786391566,0.30027627672446405,0.2465461844249497,0.053730092299514365,0.28052760697832096,0.3614700781367448,-0.08094247115842385,102.5942857142857,94.62,7.974285714285699,2.0,2.0,0.0
0020700093,2007-11-12,2007-08,early,0,0.44825277283132375,0.5128765644094461,-0.06462379157812231,0.16348246531796604,0.1332721478363517,0.030210317481614346,0.24854981424748868,0.2595892227440643,-0.011039408496575642,0.3087681800827425,0.18607237286846304,0.12269580721427945,95.52,94.03999999999999,1.480000000000004,2.0,1.0,1.0
